Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Camera,Scored.by,Date.scoring.was.completed,Video.date,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Enoby,878.3,Grooming,Social,Ichor,STATE,32404.000,32449.950,45.950,Not found,0,919,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Enoby,878.3,Checkpoint,Not defined,Left off here,POINT,32449.950,32449.950,NA,Not found,919,919,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Vashu,79.0,Grooming,Social,Wrath,STATE,32460.850,32481.800,20.950,Not found,1137,1556,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Vashu,79.0,Checkpoint,Not defined,Start here,POINT,32460.850,32460.850,NA,Not found,1137,1137,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Rouge,5.9,Grooming,Social,Juice,STATE,32557.100,32561.250,4.150,Not found,3062,3145,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Enoby,878.3,Grooming,Social,Ichor,STATE,32604.350,32635.050,30.700,Not found,4007,4621,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Enoby,878.3,Checkpoint,Not defined,Start here,POINT,32604.350,32604.350,NA,Not found,4007,4007,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Enoby,878.3,Grooming,Social,Ichor,STATE,32643.600,32794.050,150.450,Not found,4792,7801,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Kazul,316.5,Grooming,Social,Mochi,STATE,32664.100,32752.450,88.350,Not found,5202,6969,,,,
8-6 ch11 pt2.mp4,2026-01-24 11:15:26.597,Complete 2/10/26 including checks + offscreen,Media file,player #1:8-6-25\8-6 ch11 pt2.mp4|player #2:8-6-25\N863A6_ch3_main_20250806090001_20250806093001.mp4,32404.000,7196.100,7196.150|1799.333,20.000|15.000,Left corner,Tobias,2026-02-10 00:00:00,2025-08-06 00:00:00,Mochi,0.0,Checkpoint,Not defined,Start here,POINT,32666.750,32666.750,NA,Not found,5255,5255,,,,
